TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
NoMoneyStake	0.037	2	2.003	2.0	4.002	0.331	4.419	1.619	No money at stake!	You pressed too slow!	0	0
NoMoneyStake	6.019	2	8.002	1.5	9.502	0.331	9.902	1.619	No money at stake!	You pressed too soon!	0	0
LargeLoss	11.551	2	13.501	2.5	16.0	0.331	16.4	1.619	You keep $5!	Correct Response!	1	318
NoMoneyStake	18.017	2	20.0	1.5	21.499	0.331	21.899	1.619	No money at stake!	You pressed too slow!	0	0
LargeGain	23.549	2	25.499	1.5	26.998	0.331	27.398	1.619	You earn $5!	Correct Response!	1	279
SmallLoss	29.048	2	30.998	1.5	32.498	0.331	32.897	1.619	You keep $0.20!	Correct Response!	1	267
LargeLoss	34.514	2	36.497	4.0	40.496	0.281	40.846	1.669	You lose $5!	You pressed too slow!	0	0
NoMoneyStake	42.512	2	44.495	3.5	47.995	0.281	48.345	1.669	No money at stake!	You pressed too slow!	0	0
SmallGain	50.044	2	51.994	2.5	54.494	0.281	54.844	1.669	You did not earn $0.20!	You pressed too slow!	0	0
LargeLoss	56.51	2	58.493	2.0	60.493	0.281	60.843	1.669	You lose $5!	You pressed too slow!	0	0
SmallLoss	62.509	2	64.492	1.5	65.992	0.301	66.375	1.649	You lose $0.20!	You pressed too slow!	0	0
SmallGain	68.008	2	69.991	3.0	72.991	0.301	73.374	1.649	You earn $0.20!	Correct Response!	1	283
LargeLoss	75.007	2	76.99	1.5	78.49	0.301	78.873	1.649	You lose $5!	You pressed too slow!	0	0
SmallGain	80.506	2	82.489	1.5	83.989	0.351	84.422	1.599	You earn $0.20!	Correct Response!	1	284
SmallGain	86.005	2	87.988	2.0	89.988	0.351	90.421	1.599	You earn $0.20!	Correct Response!	1	293
LargeLoss	92.004	2	93.987	2.0	95.987	0.351	96.42	1.599	You keep $5!	Correct Response!	1	277
NoMoneyStake	98.003	2	99.986	2.5	102.485	0.331	102.885	1.619	No money at stake!	Correct Response!	1	323
