TRIAL_TYPE	CUE_ONSET	CUE_DURATION	FIXATION_ONSET	FIXATION_DURATION	PROBE_ONSET	PROBE_DURATION	FEEDBACK_ONSET	FEEDBACK_DURATION	TRIAL_RESULT	RESULT_REASON	PROBE_HIT	PROBE_MRT
LargeGain	0.042	2	2.009	1.5	3.508	0.288	3.875	1.662	You did not earn $5!	You pressed too slow!	0	0
LargeGain	5.525	2	7.508	4.0	11.507	0.288	11.874	1.662	You did not earn $5!	You pressed too slow!	0	0
SmallGain	13.557	2	15.506	2.5	18.006	0.288	18.373	1.662	You did not earn $0.20!	You pressed too slow!	0	0
SmallGain	20.022	2	22.005	4.0	26.005	0.358	26.438	1.592	You earn $0.20!	Correct Response!	1	297
LargeGain	28.021	2	30.004	2.0	32.003	0.358	32.437	1.592	You earn $5!	Correct Response!	1	306
NoMoneyStake	34.036	2	36.003	3.0	39.002	0.358	39.435	1.592	No money at stake!	Correct Response!	1	331
SmallLoss	41.035	2	43.002	1.5	44.501	0.358	44.935	1.592	You keep $0.20!	Correct Response!	1	313
LargeLoss	46.551	2	48.501	2.0	50.5	0.378	50.95	1.572	You lose $5!	You pressed too soon!	0	0
LargeGain	52.517	2	54.5	3.0	57.499	0.378	57.949	1.572	You earn $5!	Correct Response!	1	304
LargeLoss	59.515	2	61.498	2.0	63.498	0.378	63.948	1.572	You keep $5!	Correct Response!	1	313
NoMoneyStake	65.514	2	67.497	4.0	71.497	0.348	71.913	1.602	No money at stake!	Correct Response!	1	337
SmallLoss	73.513	2	75.496	3.5	78.995	0.348	79.412	1.602	You keep $0.20!	Correct Response!	1	303
SmallLoss	81.011	2	82.995	1.5	84.494	0.348	84.911	1.602	You keep $0.20!	Correct Response!	1	307
LargeLoss	86.511	2	88.493	1.5	89.993	0.348	90.41	1.602	You keep $5!	Correct Response!	1	312
SmallGain	92.01	2	93.993	2.0	95.992	0.318	96.392	1.632	You earn $0.20!	Correct Response!	1	281
SmallLoss	98.008	2	99.991	2.0	101.991	0.318	102.391	1.632	You keep $0.20!	Correct Response!	1	281
LargeLoss	104.007	2	105.99	1.5	107.49	0.318	107.89	1.632	You keep $5!	Correct Response!	1	310
LargeGain	109.506	2	111.489	3.5	114.989	0.268	115.339	1.682	You did not earn $5!	You pressed too slow!	0	0
NoMoneyStake	117.005	2	118.988	1.5	120.488	0.268	120.838	1.682	No money at stake!	You pressed too slow!	0	0
SmallLoss	122.504	2	124.487	2.0	126.487	0.268	126.837	1.682	You lose $0.20!	You pressed too slow!	0	0
NoMoneyStake	128.503	2	130.486	2.0	132.486	0.268	132.836	1.682	No money at stake!	You pressed too slow!	0	0
